movie_id,title,release_date,budget,revenue,genres,production_companies,production_countries,languages,popularity,runtime,vote_average,vote_count,poster_url
20,My Life Without Me,2003-03-07,2500000.0,12300000.0,"Drama, Romance","El Deseo, Milestone Productions","Canada, Spain",English,2.6522,106,6.066,479,https://image.tmdb.org/t/p/w500/pFEtVPW88pWflYV84UFL0h1iJr3.jpg
22,Pirates of the Caribbean: the Curse of the Black Pearl,2003-07-09,140000000.0,655011224.0,"Adventure, Fantasy, Action","Walt Disney Pictures, Jerry Bruckheimer Films",United States of America,English,20.9353,143,7.813,21398,https://image.tmdb.org/t/p/w500/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg
24,Kill Bill: Vol. 1,2003-10-10,30000000.0,180906076.0,"Action, Crime","Miramax, A Band Apart, Super Cool ManChu",United States of America,"English, 日本語, Français",12.9435,111,7.971,18107,https://image.tmdb.org/t/p/w500/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg
25,Jarhead,2005-11-04,72000000.0,97076152.0,"Drama, War","Red Wagon Entertainment, Neal Street Productions","Germany, United States of America","English, Español, العربية, Latin",5.8119,123,6.673,3007,https://image.tmdb.org/t/p/w500/4rCzaZy5Qkvxh5xaVpHriXSLTgC.jpg
26,Walk on Water,2004-02-05,1400000.0,444.0,Drama,"Lama Films, United King Films","Israel, Sweden","العربية, English, Deutsch, עִבְרִית, Italiano, Türkçe",1.0288,103,6.92,87,https://image.tmdb.org/t/p/w500/mVWFN3RaBFLuJRtRLPebatX9qPq.jpg
27,9 Songs,2004-07-16,1000000.0,1574623.0,"Drama, Music, Romance",Revolution Films,United Kingdom,English,6.8987,69,5.552,539,https://image.tmdb.org/t/p/w500/91O7z0vo7MiNWd5xD2BoivwbQsb.jpg
28,Apocalypse Now,1979-05-19,31500000.0,150000000.0,"Drama, War",American Zoetrope,United States of America,"English, Français, Tiếng Việt",11.4872,147,8.272,8624,https://image.tmdb.org/t/p/w500/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg
33,Unforgiven,1992-08-07,14400000.0,159157447.0,Western,"Warner Bros. Pictures, Malpaso Productions",United States of America,English,6.1298,130,7.915,4667,https://image.tmdb.org/t/p/w500/54roTwbX9fltg85zjsmrooXAs12.jpg
35,The Simpsons Movie,2007-07-25,75000000.0,527068851.0,"Animation, Comedy, Family","Gracie Films, 20th Century Fox",United States of America,English,9.9918,87,7.014,8260,https://image.tmdb.org/t/p/w500/gzb6P78zeFTnv9eoFYnaJ2YrZ5q.jpg
38,Eternal Sunshine of the Spotless Mind,2004-03-19,20000000.0,72258126.0,"Science Fiction, Drama, Romance","Focus Features, Anonymous Content, This is that",United States of America,English,12.9799,108,8.092,15653,https://image.tmdb.org/t/p/w500/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg
55,Amores Perros,2000-06-16,2000000.0,20908467.0,"Drama, Thriller","Altavista Films, Zeta Film",Mexico,Español,2.4656,154,7.63,2736,https://image.tmdb.org/t/p/w500/n3QrQvLM7lZ9AGExvG89OREkCXW.jpg
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,200000000.0,1066179747.0,"Adventure, Fantasy, Action","Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",United States of America,"English, Türkçe, Ελληνικά, 普通话",19.3118,151,7.37,16555,https://image.tmdb.org/t/p/w500/lAhcKRt0ggTFkeFL95jrGQYaRXs.jpg
59,A History of Violence,2005-09-23,32000000.0,61477797.0,"Drama, Thriller, Crime","New Line Cinema, BenderSpink, Media I! Filmproduktion München & Company","United States of America, Canada, Germany",English,3.3994,96,7.2,3471,https://image.tmdb.org/t/p/w500/A26rcvipOqptVs7i5uRmKicXRxE.jpg
62,2001: a Space Odyssey,1968-04-02,12000000.0,71923560.0,"Science Fiction, Mystery, Adventure","Stanley Kubrick Productions, Metro-Goldwyn-Mayer","United States of America, United Kingdom","English, Pусский",11.8829,149,8.065,12002,https://image.tmdb.org/t/p/w500/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg
63,Twelve Monkeys,1995-12-29,29000000.0,168841459.0,"Science Fiction, Thriller, Mystery","Universal Pictures, Atlas Entertainment, Classico, Twelve Monkeys Productions",United States of America,"English, Français",14.2598,129,7.6,8683,https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
65,8 Mile,2002-11-08,41000000.0,242875078.0,"Drama, Music","Mikona Productions, Imagine Entertainment",United States of America,English,10.322,111,7.144,7526,https://image.tmdb.org/t/p/w500/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg
66,Absolute Power,1997-02-14,50000000.0,50100000.0,"Crime, Drama, Action","Castle Rock Entertainment, Malpaso Productions",United States of America,"English, Español",2.05,121,6.7,1149,https://image.tmdb.org/t/p/w500/nJRJvWufoLymvNA0Nk5Z0kqsWyk.jpg
67,Paradise Now,2005-09-07,2000000.0,3395627.0,"Crime, Thriller, Drama, War","Lama Films, Augustus Film, Razor Film Produktion, ARTE France Cinéma, Hazazah Film, Lumen Films","Palestinian Territory, France, Germany, Israel, Netherlands","العربية, English",1.8968,90,6.931,267,https://image.tmdb.org/t/p/w500/qWZkYa8VdcDZk8uzRB2PfhpM9IL.jpg
68,Brazil,1985-02-20,15000000.0,9900000.0,"Comedy, Science Fiction",Embassy International Pictures,United Kingdom,English,4.0139,143,7.668,3475,https://image.tmdb.org/t/p/w500/aewan59WcFThBimkTVVoNf2o5Vb.jpg
69,Walk the Line,2005-09-13,28000000.0,186800000.0,"Drama, Music, Romance","Mars Media Beteiligungs, Tree Line Films, Catfish Productions, Fox 2000 Pictures","Germany, United States of America","English, Pусский",6.6417,136,7.497,2987,https://image.tmdb.org/t/p/w500/p8lPTjvjOjTfvC1E9pmMwcF9vkn.jpg
70,Million Dollar Baby,2004-12-05,30000000.0,216763646.0,Drama,"Lakeshore Entertainment, Malpaso Productions, Epsilon Motion Pictures, ASR Productions, Warner Bros. Pictures",United States of America,"English, Gaeilge",7.1616,132,7.955,9950,https://image.tmdb.org/t/p/w500/jcfEqKdWF1zeyvECPqp3mkWLct2.jpg
71,Billy Elliot,2000-09-28,5000000.0,109280263.0,"Drama, Comedy, Music","StudioCanal, BBC Film, Tiger Aspect, Arts Council of England, Working Title Films, WT² Productions","France, United Kingdom",English,4.2582,110,7.597,3948,https://image.tmdb.org/t/p/w500/nOr5diUZxphmAD3li9aiILyI28F.jpg
73,American History X,1998-07-01,20000000.0,23900000.0,Drama,"New Line Cinema, Savoy Pictures, The Turman-Morrissey Company",United States of America,English,6.3846,119,8.334,12014,https://image.tmdb.org/t/p/w500/x2drgoXYZ8484lqyDj7L1CEVR4T.jpg
74,War of the Worlds,2005-06-28,132000000.0,603873119.0,"Adventure, Thriller, Science Fiction","Paramount Pictures, DreamWorks Pictures, Amblin Entertainment, Cruise/Wagner Productions",United States of America,English,12.2445,117,6.521,8728,https://image.tmdb.org/t/p/w500/6Biy7R9LfumYshur3YKhpj56MpB.jpg
75,Mars Attacks!,1996-12-13,70000000.0,101371017.0,"Comedy, Fantasy, Science Fiction","Warner Bros. Pictures, Tim Burton Productions",United States of America,"English, Français",6.9743,106,6.415,5636,https://image.tmdb.org/t/p/w500/iCifw8aBSVd1UykIj0NMSehp8CB.jpg
76,Before Sunrise,1995-01-27,2500000.0,5987386.0,"Drama, Romance","Castle Rock Entertainment, Detour Filmproduction, Filmhaus Films, Columbia Pictures","Austria, Switzerland, United States of America","English, Deutsch, Français",6.5224,101,7.965,4393,https://image.tmdb.org/t/p/w500/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg
77,Memento,2000-10-11,9000000.0,40047236.0,"Mystery, Thriller","Newmarket Films, Summit Entertainment, Team Todd, I Remember Productions",United States of America,English,10.2161,113,8.178,15507,https://image.tmdb.org/t/p/w500/fKTPH2WvH8nHTXeBYBVhawtRqtR.jpg
78,Blade Runner,1982-06-25,28000000.0,41722424.0,"Science Fiction, Drama, Thriller","Shaw Brothers, The Ladd Company, Warner Bros. Pictures","United States of America, Hong Kong, United Kingdom","English, Deutsch, 广州话 / 廣州話, 日本語, Magyar",13.3363,118,7.942,14337,https://image.tmdb.org/t/p/w500/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg
79,Hero,2002-07-22,31000000.0,177394432.0,"Drama, Adventure, Action, History","Beijing New Picture Film Co. Ltd., China Film Co-Production Corp., Elite Group Enterprises, Edko Films, Sil-Metropole Organisation, Zhang Yimou Studio",China,普通话,7.3713,99,7.501,2354,https://image.tmdb.org/t/p/w500/vxgZto2Cz7ILHAlmRXt50I2brB2.jpg
80,Before Sunset,2004-06-16,2700000.0,15992615.0,"Drama, Romance","Warner Independent Pictures, Castle Rock Entertainment, Detour Filmproduction",United States of America,"English, Français",3.2794,80,7.808,3559,https://image.tmdb.org/t/p/w500/94Yl2xVB7YIRK4IgA0RqYGiNgkB.jpg
81,Nausicaä of the Valley of the Wind,1984-03-11,1000000.0,9016411.0,"Adventure, Animation, Fantasy","Topcraft, Tokuma Shoten, Hakuhodo",Japan,日本語,8.1068,117,7.95,3810,https://image.tmdb.org/t/p/w500/tcrkfB8SRPQCgwI88hQScua6nxh.jpg
82,Miami Vice,2006-07-27,135000000.0,163800000.0,"Action, Crime, Thriller","Universal Pictures, Forward Pass, Motion Picture ETA Produktionsgesellschaft","Uruguay, United States of America, Germany, Paraguay","English, Español",5.1075,132,6.017,1856,https://image.tmdb.org/t/p/w500/1KGD2g0wOc7WBfHc5G19reLHQxk.jpg
83,Open Water,2003-10-26,120000.0,54683487.0,"Drama, Thriller, Horror","Plunge Pictures LLC, Lions Gate Films, EastGate Films",United States of America,English,3.3052,79,5.545,1090,https://image.tmdb.org/t/p/w500/7Gy5N0Yp7ocaKBR860v9KDbpYHj.jpg
85,Raiders of the Lost Ark,1981-06-12,18000000.0,389925971.0,"Adventure, Action","Paramount Pictures, Lucasfilm Ltd.",United States of America,"English, Español, Deutsch, עִבְרִית, العربية",11.6742,115,7.925,13048,https://image.tmdb.org/t/p/w500/ceG9VzoRAVGwivFU403Wc3AHRys.jpg
87,Indiana Jones and the Temple of Doom,1984-05-23,28000000.0,333000000.0,"Adventure, Action","Paramount Pictures, Lucasfilm Ltd.",United States of America,English,7.5656,118,7.302,9686,https://image.tmdb.org/t/p/w500/gpdVNUaa4LhRMLfJOPj1AZdhAZ3.jpg
88,Dirty Dancing,1987-08-21,6000000.0,214577242.0,"Drama, Music, Romance","Great American Films Limited Partnership, Vestron Pictures",United States of America,English,7.1775,100,7.328,6318,https://image.tmdb.org/t/p/w500/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg
89,Indiana Jones and the Last Crusade,1989-05-24,48000000.0,474171806.0,"Adventure, Action","Paramount Pictures, Lucasfilm Ltd.",United States of America,"Deutsch, Ελληνικά, English",8.9986,127,7.846,10593,https://image.tmdb.org/t/p/w500/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg
90,Beverly Hills Cop,1984-12-05,14000000.0,316360478.0,"Comedy, Crime, Action","Paramount Pictures, Eddie Murphy Productions, Don Simpson/Jerry Bruckheimer Films",United States of America,English,10.1117,105,7.203,4364,https://image.tmdb.org/t/p/w500/eBJEvKkhQ0tUt1dBAcTEYW6kCle.jpg
93,Anatomy of a Murder,1959-07-01,2000000.0,8000000.0,"Crime, Drama, Mystery","Columbia Pictures, Otto Preminger Films",United States of America,English,2.7459,161,7.8,1069,https://image.tmdb.org/t/p/w500/b2G1QSAwtBv9luhEwErIgSRaU92.jpg
95,Armageddon,1998-07-01,140000000.0,553799566.0,"Action, Thriller, Science Fiction, Adventure","Touchstone Pictures, Jerry Bruckheimer Films, Valhalla Motion Pictures",United States of America,"English, Pусский",9.6269,151,6.836,8235,https://image.tmdb.org/t/p/w500/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg
96,Beverly Hills Cop Ii,1987-05-18,28000000.0,299965036.0,"Action, Comedy, Crime","Eddie Murphy Productions, Paramount Pictures, Don Simpson/Jerry Bruckheimer Films",United States of America,English,7.3635,103,6.521,2667,https://image.tmdb.org/t/p/w500/egDakU8O5yUwpUJP9IMAUVtIDll.jpg
97,Tron,1982-07-09,17000000.0,33000000.0,"Science Fiction, Action, Adventure","Lisberger/Kushner Productions, Walt Disney Productions",United States of America,English,6.6553,95,6.645,2439,https://image.tmdb.org/t/p/w500/zwSFEczP7AzqugAHHIX3zHniT0t.jpg
98,Gladiator,2000-05-04,103000000.0,465516248.0,"Action, Drama, Adventure","Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, DreamWorks Pictures","United Kingdom, United States of America",English,18.3585,155,8.22,20018,https://image.tmdb.org/t/p/w500/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg
99,All About My Mother,1999-04-16,8272296.0,67956089.0,"Comedy, Drama","El Deseo, Renn Productions, France 2 Cinéma","Spain, France",Español,2.4685,101,7.639,1962,https://image.tmdb.org/t/p/w500/hjQhzhkGYXPNM96k0mOgob6HMmn.jpg
100,"Lock, Stock and Two Smoking Barrels",1998-08-28,1350000.0,28356188.0,"Comedy, Crime","The Steve Tisch Company, SKA Films, Handmade Films",United Kingdom,English,2.3257,105,8.109,6856,https://image.tmdb.org/t/p/w500/6pJB2t3MbQUy9m5pFIBHXLqnqNd.jpg
101,Léon: the Professional,1994-09-14,16000000.0,45284974.0,"Crime, Drama, Action","Gaumont, Les Films du Dauphin","France, United States of America",English,17.057,111,8.3,15420,https://image.tmdb.org/t/p/w500/bxB2q91nKYp8JNzqE7t7TWBVupB.jpg
103,Taxi Driver,1976-02-09,1900000.0,28579636.0,"Crime, Drama","Italo/Judeo Productions, Bill/Phillips, Columbia Pictures",United States of America,"English, Español",10.9459,114,8.1,12842,https://image.tmdb.org/t/p/w500/ekstpH614fwDX8DUln1a2Opz0N8.jpg
104,Run Lola Run,1998-08-20,1530000.0,7660911.0,"Action, Drama, Thriller",X Filme Creative Pool,Germany,"Deutsch, English, 日本語",2.4023,81,7.293,2399,https://image.tmdb.org/t/p/w500/v0giIi4bTILVhNhJajet3WWY3FA.jpg
105,Back to the Future,1985-07-03,19000000.0,381109762.0,"Adventure, Comedy, Science Fiction","Universal Pictures, Amblin Entertainment",United States of America,English,17.0539,116,8.323,20826,https://image.tmdb.org/t/p/w500/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg
106,Predator,1987-06-12,15000000.0,98267558.0,"Science Fiction, Action, Adventure, Thriller","20th Century Fox, Lawrence Gordon Productions, Silver Pictures, Davis Entertainment, Amercent Films, American Entertainment Partners L.P.",United States of America,"English, Español",12.6647,107,7.539,8520,https://image.tmdb.org/t/p/w500/vQhYhYsOBECkQzvSC3jInKv9CLf.jpg
107,Snatch,2000-09-01,10000000.0,83557872.0,"Crime, Comedy","SKA Films, Screen Gems","United Kingdom, United States of America","English, Pусский",8.8083,103,7.816,9456,https://image.tmdb.org/t/p/w500/kJZoAHq1SLDdWjeNGtlHAnGpmFV.jpg
111,Scarface,1983-12-09,25000000.0,66023329.0,"Action, Crime, Drama","Universal Pictures, Martin Bregman Productions",United States of America,"English, Español",21.0143,170,8.161,12413,https://image.tmdb.org/t/p/w500/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg
112,Italian for Beginners,2000-12-07,1000000.0,16350876.0,"Comedy, Drama, Romance","Zentropa Entertainments, DR","Denmark, Sweden",Dansk,0.7367,118,6.372,141,https://image.tmdb.org/t/p/w500/yviUKuVb9BXYPqkWvp8JZFj2wVb.jpg
114,Pretty Woman,1990-03-23,14000000.0,463406268.0,"Romance, Comedy","Touchstone Pictures, Silver Screen Partners IV, Regency Enterprises, Arnon Milchan Productions",United States of America,"English, Italiano, 日本語",8.1188,120,7.46,8613,https://image.tmdb.org/t/p/w500/hVHUfT801LQATGd26VPzhorIYza.jpg
115,The Big Lebowski,1998-03-06,15000000.0,47010480.0,"Comedy, Crime","PolyGram Filmed Entertainment, Working Title Films","United Kingdom, United States of America","English, עִבְרִית, Español, Deutsch",8.6709,117,7.838,11660,https://image.tmdb.org/t/p/w500/9mprbw31MGdd66LR0AQKoDMoFRv.jpg
116,Match Point,2005-10-26,15000000.0,85306374.0,"Drama, Romance, Thriller","BBC Film, Thema Production, Jada Productions","Ireland, Luxembourg, Russia, United Kingdom, United States of America",English,4.0195,124,7.36,4197,https://image.tmdb.org/t/p/w500/vHjEVTD8ucuwKSFOZJeyAnTZYli.jpg
117,The Untouchables,1987-06-03,25000000.0,76270454.0,"Crime, History, Thriller","Paramount Pictures, Linson Entertainment",United States of America,English,7.9496,119,7.757,5911,https://image.tmdb.org/t/p/w500/8BquGK22zCcsmBWiaIakaaPpSZb.jpg
118,Charlie and the Chocolate Factory,2005-07-13,150000000.0,475000000.0,"Adventure, Comedy, Family, Fantasy","Warner Bros. Pictures, Village Roadshow Pictures, The Zanuck Company, Plan B Entertainment, Theobald Film Productions","Australia, United Kingdom, United States of America",English,16.9369,115,7.041,15630,https://image.tmdb.org/t/p/w500/iKP6wg3c6COUe8gYutoGG7qcPnO.jpg
120,The Lord of the Rings: the Fellowship of the Ring,2001-12-18,93000000.0,871368364.0,"Adventure, Fantasy, Action","New Line Cinema, WingNut Films, The Saul Zaentz Company","New Zealand, United States of America",English,24.5694,179,8.424,26334,https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg
121,The Lord of the Rings: the Two Towers,2002-12-18,79000000.0,926287400.0,"Adventure, Fantasy, Action","New Line Cinema, WingNut Films, The Saul Zaentz Company","New Zealand, United States of America",English,17.7022,179,8.4,22873,https://image.tmdb.org/t/p/w500/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg
122,The Lord of the Rings: the Return of the King,2003-12-17,94000000.0,1118888979.0,"Adventure, Fantasy, Action","New Line Cinema, WingNut Films, The Saul Zaentz Company","New Zealand, United States of America",English,23.6182,201,8.488,25413,https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg
123,The Lord of the Rings,1978-11-15,4000000.0,30500000.0,"Adventure, Animation, Fantasy","Fantasy Films, Bakshi Productions, Saul Zaentz Film Productions, United Artists",United States of America,English,2.6568,132,6.6,979,https://image.tmdb.org/t/p/w500/liW0mjvTyLs7UCumaHhx3PpU4VT.jpg
128,Princess Mononoke,1997-07-12,23500000.0,176506186.0,"Adventure, Fantasy, Animation","Studio Ghibli, Nibariki, dentsu Music and Entertainment, TNDG, Tokuma Shoten, Nippon Television Network Corporation, dentsu",Japan,日本語,13.2976,134,8.3,8503,https://image.tmdb.org/t/p/w500/cMYCDADoLKLbB83g4WnJegaZimC.jpg
129,Spirited Away,2001-07-20,19000000.0,274925095.0,"Animation, Family, Fantasy",Studio Ghibli,Japan,日本語,20.4496,125,8.535,17442,https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg
134,"O Brother, Where Art Thou?",2000-08-30,26000000.0,71900000.0,"Adventure, Comedy, Crime","Touchstone Pictures, Universal Pictures, StudioCanal, Working Title Films, Mike Zoss Productions","France, United Kingdom, United States of America",English,6.6388,107,7.317,4346,https://image.tmdb.org/t/p/w500/s9foMAcLg8GEzzQzer04qOGdD1k.jpg
137,Groundhog Day,1993-02-11,14600000.0,71108778.0,"Romance, Fantasy, Drama, Comedy",Columbia Pictures,United States of America,"English, Français, Italiano",9.4395,101,7.617,8396,https://image.tmdb.org/t/p/w500/gCgt1WARPZaXnq523ySQEUKinCs.jpg
138,Dracula,1931-02-12,355000.0,700000.0,Horror,Universal Pictures,United States of America,"English, Deutsch, Magyar",4.3712,74,7.156,1282,https://image.tmdb.org/t/p/w500/ueVSPt7vAba0XScHWTDWS5tNxYX.jpg
140,Bad Education,2004-03-19,5000000.0,40266982.0,"Drama, Crime",El Deseo,Spain,Español,1.924,105,7.371,1001,https://image.tmdb.org/t/p/w500/du716YH0PKiL2kZgIPLkEblgHLX.jpg
141,Donnie Darko,2001-01-19,4500000.0,7500000.0,"Fantasy, Drama, Mystery","Flower Films, Pandora Cinema, Newmarket Films",United States of America,English,8.8163,114,7.768,12884,https://image.tmdb.org/t/p/w500/fhQoQfejY1hUcwyuLgpBrYs6uFt.jpg
142,Brokeback Mountain,2005-10-22,14000000.0,178043761.0,"Drama, Romance","Focus Features, River Road Entertainment, Alberta Film Entertainment","Canada, United States of America",English,8.3832,134,7.785,7268,https://image.tmdb.org/t/p/w500/aByfQOQBNa4CMFwIgq3QrqY2ZHh.jpg
143,All Quiet on the Western Front,1930-04-29,1448864.0,3270000.0,"Drama, War",Universal Pictures,United States of America,"English, Français, Deutsch, Latin",3.7888,133,7.75,855,https://image.tmdb.org/t/p/w500/1wZUB08igw8iLUgF1r4T6aJD65b.jpg
144,Wings of Desire,1987-09-23,2500000.0,3210139.0,"Drama, Fantasy, Romance","Road Movies, Argos films, WDR, Wim Wenders Stiftung","Germany, France","English, Français, Deutsch",9.7467,128,7.783,1407,https://image.tmdb.org/t/p/w500/iZQs2vUeCzvS1KfZJ6uYNCGJBBV.jpg
145,Breaking the Waves,1996-07-05,7500000.0,23000000.0,"Drama, Romance","Zentropa Entertainments, Liberator Productions, Trust Film Svenska, Argus Film Produktie, Northern Lights, SVT Drama, Nordisk Film & TV Fond, La Sept Cinéma, VPRO, Media Investment Club","Denmark, France, Iceland, Netherlands, Norway, Sweden",English,4.0683,159,7.498,1050,https://image.tmdb.org/t/p/w500/dQWMcdHXUOSHtr7ypOCa5T79JMS.jpg
146,"Crouching Tiger, Hidden Dragon",2000-07-06,17000000.0,213978518.0,"Adventure, Drama, Action, Romance","Good Machine, Edko Films, Zoom Hunt, Ang Lee Productions, China Film Co-Production Corp., CP Film Production Asia, Columbia Pictures, Sony Pictures Classics","China, Hong Kong, Taiwan, United States of America",普通话,8.067,120,7.433,3362,https://image.tmdb.org/t/p/w500/iNDVBFNz4XyYzM9Lwip6atSTFqf.jpg
149,Akira,1988-06-10,5700000.0,49000000.0,"Animation, Science Fiction, Action","MBS, Sumitomo Corporation, TOHO, Studio Fuga, Kodansha, Tokyo Movie Shinsha, Bandai, Hakuhodo, LaserDisc Corporation",Japan,日本語,8.1794,124,7.941,4496,https://image.tmdb.org/t/p/w500/neZ0ykEsPqxamsX6o5QNUFILQrz.jpg
150,48 Hrs.,1982-12-07,12000000.0,78868508.0,"Crime, Action, Comedy","Paramount Pictures, Lawrence Gordon Productions, Silver Pictures",United States of America,English,4.4426,96,6.683,1582,https://image.tmdb.org/t/p/w500/rvvjXHzEDBIvIVDBHNOwHS7hVPu.jpg
152,Star Trek: the Motion Picture,1979-12-07,44000000.0,139346243.0,"Science Fiction, Adventure, Mystery","Paramount Pictures, Century Associates",United States of America,English,4.6034,131,6.5,1813,https://image.tmdb.org/t/p/w500/wfiAfNwH6CMKxz4vRaW8CPTabtk.jpg
153,Lost in Translation,2003-09-18,4000000.0,119723856.0,"Drama, Romance, Comedy","American Zoetrope, Elemental Films","Japan, United States of America","日本語, English",8.4088,102,7.387,7663,https://image.tmdb.org/t/p/w500/3jCLmYDIIiSMPujbwygNpqdpM8N.jpg
154,Star Trek Ii: the Wrath of Khan,1982-06-04,12000000.0,96594943.0,"Action, Adventure, Science Fiction, Thriller",Paramount Pictures,United States of America,English,1.9183,112,7.447,2007,https://image.tmdb.org/t/p/w500/uPyLsKl8Z0LOoxeaFXsY5MxhR5s.jpg
155,The Dark Knight,2008-07-16,185000000.0,1004558444.0,"Drama, Action, Crime, Thriller","Warner Bros. Pictures, Legendary Pictures, Syncopy, DC","United Kingdom, United States of America","English, 普通话",29.9949,152,8.523,34326,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg
157,Star Trek Iii: the Search for Spock,1984-06-01,18000000.0,87000000.0,"Science Fiction, Action, Adventure, Thriller",Paramount Pictures,United States of America,"English, Pусский",1.8528,105,6.58,1429,https://image.tmdb.org/t/p/w500/yqEj0oPfKBMCz7YcCARHDgH7VFm.jpg
161,Ocean's Eleven,2001-12-07,85000000.0,450717150.0,"Thriller, Crime","Warner Bros. Pictures, Village Roadshow Pictures, NPV Entertainment, Jerry Weintraub Productions, Section Eight",United States of America,"Italiano, English",8.9538,116,7.45,12018,https://image.tmdb.org/t/p/w500/hQQCdZrsHtZyR6NbKH2YyCqd2fR.jpg
162,Edward Scissorhands,1990-12-07,20000000.0,86024005.0,"Fantasy, Drama, Romance","20th Century Fox, Tim Burton Productions",United States of America,English,10.9754,105,7.718,13301,https://image.tmdb.org/t/p/w500/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg
